benchmark,config,avg_sim
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.IsCycle.smt2,,87.43
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.IsPath.smt2,,86.68
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.IsPathFromTo.smt2,,86.69
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.IsSimple.smt2,,87.85
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.NewNodesAreCycleFree.smt2,,87.09
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.NewPath.smt2,,86.55
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.NewlyReachableReferences.smt2,,87.02
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.ReachableReferences.smt2,,88.2
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.Root.smt2,,86.55
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.UnallocPreservesAcyclic.smt2,,88.39
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.UndoLocalEdit.smt2,,87.77
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__ReferenceType.__default.Root.smt2,,84.38
d_fvbkv/Betree-Graph.i.dfy.Impl__Graph.__default.AcyclicGraphImpliesSimplePath.smt2,,87.25
d_fvbkv/Betree-Graph.i.dfy.Impl__Graph.__default.LocalEditPreservesAcyclic.smt2,,89.34
d_fvbkv/Betree-Graph.i.dfy.Impl__Graph.__default.UnallocPreservesAcyclic.smt2,,86.84
d_fvbkv/Betree-Transactable.i.dfy.CheckWellformed__Transactable.__default.GetPenultimateState.smt2,,87.64
d_fvbkv/Betree-Transactable.i.dfy.CheckWellformed__Transactable.__default.IsStatePath.smt2,,87.95
d_fvbkv/Betree-Transactable.i.dfy.CheckWellformed__Transactable.__default.MakeTransaction1.smt2,,88.27
d_fvbkv/Betree-Transactable.i.dfy.CheckWellformed__Transactable.__default.MakeTransaction2.smt2,,87.52
d_fvbkv/Betree-Transactable.i.dfy.CheckWellformed__Transactable.__default.MakeTransaction3.smt2,,87.86
d_fvbkv/Betree-Transactable.i.dfy.CheckWellformed__Transactable.__default.OpTransaction.smt2,,87.46
d_fvbkv/Betree-Transactable.i.dfy.CheckWellformed__Transactable.__default.Reads.smt2,,87.63
d_fvbkv/Betree-Transactable.i.dfy.CheckWellformed__Transactable.__default.Transaction1Steps.smt2,,87.37
