benchmark,config,total_time,result,status
queries-ASN1.Base-4.smt2,wopass-9999,1.58,unsat,ok
queries-ASN1.Base-5.smt2,wopass-1010,1.65,unsat,ok
queries-ASN1.Base-5.smt2,wopass-1111,1.53,unsat,ok
queries-ASN1.Base-5.smt2,wopass-2222,1.58,unsat,ok
queries-ASN1.Base-5.smt2,wopass-3333,1.63,unsat,ok
queries-ASN1.Base-5.smt2,wopass-4444,1.53,unsat,ok
queries-ASN1.Base-5.smt2,wopass-5555,1.63,unsat,ok
queries-ASN1.Base-5.smt2,wopass-6666,1.51,unsat,ok
queries-ASN1.Base-5.smt2,wopass-7777,1.59,unsat,ok
queries-ASN1.Base-5.smt2,wopass-8888,1.69,unsat,ok
queries-ASN1.Base-5.smt2,wopass-9999,1.5,unsat,ok
queries-ASN1.Base-6.smt2,wopass-1010,1.62,unsat,ok
queries-ASN1.Base-6.smt2,wopass-1111,,unknown,to
queries-ASN1.Base-6.smt2,wopass-2222,1.58,unsat,ok
queries-ASN1.Base-6.smt2,wopass-3333,1.53,unsat,ok
queries-ASN1.Base-6.smt2,wopass-4444,1.52,unsat,ok
queries-ASN1.Base-6.smt2,wopass-5555,1.52,unsat,ok
queries-ASN1.Base-6.smt2,wopass-6666,1.63,unsat,ok
queries-ASN1.Base-6.smt2,wopass-7777,1.63,unsat,ok
queries-ASN1.Base-6.smt2,wopass-8888,1.6,unsat,ok
queries-ASN1.Base-6.smt2,wopass-9999,1.61,unsat,ok
queries-ASN1.Base-7.smt2,wopass-1010,1.63,unsat,ok
queries-ASN1.Base-7.smt2,wopass-1111,1.5,unsat,ok
queries-ASN1.Base-7.smt2,wopass-2222,1.63,unsat,ok
queries-ASN1.Base-7.smt2,wopass-3333,1.69,unsat,ok
queries-ASN1.Base-7.smt2,wopass-4444,1.53,unsat,ok
queries-ASN1.Base-7.smt2,wopass-5555,1.59,unsat,ok
queries-ASN1.Base-7.smt2,wopass-6666,1.51,unsat,ok
queries-ASN1.Base-7.smt2,wopass-7777,1.63,unsat,ok
queries-ASN1.Base-7.smt2,wopass-8888,1.53,unsat,ok
queries-ASN1.Base-7.smt2,wopass-9999,1.5,unsat,ok
queries-ASN1.Base-8.smt2,wopass-1010,1.54,unsat,ok
queries-ASN1.Base-8.smt2,wopass-1111,1.59,unsat,ok
queries-ASN1.Base-8.smt2,wopass-2222,1.5,unsat,ok
queries-ASN1.Base-8.smt2,wopass-3333,1.55,unsat,ok
queries-ASN1.Base-8.smt2,wopass-4444,1.51,unsat,ok
queries-ASN1.Base-8.smt2,wopass-5555,1.59,unsat,ok
queries-ASN1.Base-8.smt2,wopass-6666,1.64,unsat,ok
queries-ASN1.Base-8.smt2,wopass-7777,1.54,unsat,ok
queries-ASN1.Base-8.smt2,wopass-8888,1.5,unsat,ok
queries-ASN1.Base-8.smt2,wopass-9999,1.51,unsat,ok
queries-ASN1.Base-9.smt2,wopass-1010,1.61,unsat,ok
queries-ASN1.Base-9.smt2,wopass-1111,1.63,unsat,ok
queries-ASN1.Base-9.smt2,wopass-2222,1.67,unsat,ok
queries-ASN1.Base-9.smt2,wopass-3333,1.63,unsat,ok
queries-ASN1.Base-9.smt2,wopass-4444,1.52,unsat,ok
queries-ASN1.Base-9.smt2,wopass-5555,1.53,unsat,ok
queries-ASN1.Base-9.smt2,wopass-6666,1.57,unsat,ok
queries-ASN1.Base-9.smt2,wopass-7777,1.63,unsat,ok
queries-ASN1.Base-9.smt2,wopass-8888,1.67,unsat,ok
queries-ASN1.Base-9.smt2,wopass-9999,1.6,unsat,ok
queries-ASN1.Base.smt2,wopass-1010,1.59,unsat,ok
queries-ASN1.Base.smt2,wopass-1111,1.62,unsat,ok
queries-ASN1.Base.smt2,wopass-2222,1.6,unsat,ok
queries-ASN1.Base.smt2,wopass-3333,1.58,unsat,ok
queries-ASN1.Base.smt2,wopass-4444,1.49,unsat,ok
queries-ASN1.Base.smt2,wopass-5555,1.63,unsat,ok
queries-ASN1.Base.smt2,wopass-6666,1.54,unsat,ok
queries-ASN1.Base.smt2,wopass-7777,1.64,unsat,ok
queries-ASN1.Base.smt2,wopass-8888,1.51,unsat,ok
queries-ASN1.Base.smt2,wopass-9999,1.62,unsat,ok
queries-ASN1.Low.Base-1.smt2,wopass-1010,2.09,unsat,ok
queries-ASN1.Low.Base-1.smt2,wopass-1111,1.89,unsat,ok
queries-ASN1.Low.Base-1.smt2,wopass-2222,1.87,unsat,ok
queries-ASN1.Low.Base-1.smt2,wopass-3333,1.88,unsat,ok
queries-ASN1.Low.Base-1.smt2,wopass-4444,1.9,unsat,ok
queries-ASN1.Low.Base-1.smt2,wopass-5555,1.91,unsat,ok
queries-ASN1.Low.Base-1.smt2,wopass-6666,1.95,unsat,ok
queries-ASN1.Low.Base-1.smt2,wopass-7777,1.88,unsat,ok
queries-ASN1.Low.Base-1.smt2,wopass-8888,1.91,unsat,ok
