benchmark,config,total_time,result,status
1449.3.smt2,wopass-8888,2.16,unsat,ok
1449.3.smt2,wopass-9999,6.51,unsat,ok
1449.4.smt2,wopass-1010,0.73,unsat,ok
1449.4.smt2,wopass-1111,0.51,unsat,ok
1449.4.smt2,wopass-2222,0.91,unsat,ok
1449.4.smt2,wopass-3333,0.98,unsat,ok
1449.4.smt2,wopass-4444,0.69,unsat,ok
1449.4.smt2,wopass-5555,0.97,unsat,ok
1449.4.smt2,wopass-6666,0.88,unsat,ok
1449.4.smt2,wopass-7777,0.99,unsat,ok
1449.4.smt2,wopass-8888,0.82,unsat,ok
1449.4.smt2,wopass-9999,1.06,unsat,ok
1450.0.smt2,wopass-1010,60.0,unknown,to
1450.0.smt2,wopass-1111,60.0,unknown,to
1450.0.smt2,wopass-2222,60.0,unknown,to
1450.0.smt2,wopass-3333,60.0,unknown,to
1450.0.smt2,wopass-4444,60.0,unknown,to
1450.0.smt2,wopass-5555,60.0,unknown,to
1450.0.smt2,wopass-6666,60.0,unknown,to
1450.0.smt2,wopass-7777,60.0,unknown,to
1450.0.smt2,wopass-8888,60.0,unknown,to
1450.0.smt2,wopass-9999,60.0,unknown,to
1451.0.smt2,wopass-1010,0.02,unsat,ok
1451.0.smt2,wopass-1111,0.02,unsat,ok
1451.0.smt2,wopass-2222,0.02,unsat,ok
1451.0.smt2,wopass-3333,0.02,unsat,ok
1451.0.smt2,wopass-4444,0.02,unsat,ok
1451.0.smt2,wopass-5555,0.02,unsat,ok
1451.0.smt2,wopass-6666,0.02,unsat,ok
1451.0.smt2,wopass-7777,0.02,unsat,ok
1451.0.smt2,wopass-8888,0.02,unsat,ok
1451.0.smt2,wopass-9999,0.02,unsat,ok
1451.1.smt2,wopass-1010,0.02,unsat,ok
1451.1.smt2,wopass-1111,0.02,unsat,ok
1451.1.smt2,wopass-2222,0.02,unsat,ok
1451.1.smt2,wopass-3333,0.02,unsat,ok
1451.1.smt2,wopass-4444,0.02,unsat,ok
1451.1.smt2,wopass-5555,0.02,unsat,ok
1451.1.smt2,wopass-6666,0.02,unsat,ok
1451.1.smt2,wopass-7777,0.02,unsat,ok
1451.1.smt2,wopass-8888,0.02,unsat,ok
1451.1.smt2,wopass-9999,0.02,unsat,ok
1451.2.smt2,wopass-1010,0.02,unsat,ok
1451.2.smt2,wopass-1111,0.02,unsat,ok
1451.2.smt2,wopass-2222,0.02,unsat,ok
1451.2.smt2,wopass-3333,0.02,unsat,ok
1451.2.smt2,wopass-4444,0.02,unsat,ok
1451.2.smt2,wopass-5555,0.02,unsat,ok
